Algorithm,Data Size (MB), Encryption Time (s), Decryption Time (s), Throughput (MB/s)
DES,1,0.010006,0.009516,99.940815
3DES,1.000000,0.024932,0.024888,40.108374
AES-128,1.000000,0.004696,0.006547,212.947779
AES-192,1.000000,0.005691,0.007939,175.703076
AES-256,1.000000,0.006554,0.009573,152.573643

DES,10.000000,0.099147,0.094301,100.859890
3DES,10.000000,0.247543,0.249337,40.397003
AES-128,10.000000,0.047208,0.066754,211.826857
AES-192,10.000000,0.056753,0.080117,176.202804
AES-256,10.000000,0.065871,0.093655,151.811045

DES,100.000000,0.991474,0.944106,100.859925
3DES,100.000000,2.474839,2.499047,40.406673
AES-128,100.000000,0.460368,0.654328,217.217570
AES-192,100.000000,0.552926,0.790206,180.856019
AES-256,100.000000,0.646541,0.925503,154.669150

DES,500.000000,4.956593,4.723276,100.875737
3DES,500.000000,12.373290,12.482979,40.409623
AES-128,500.000000,2.300850,3.270433,217.311012
AES-192,500.000000,2.765453,3.946475,180.802224
AES-256,500.000000,3.230333,4.624064,154.782791

DES,1024.000000,10.147898,9.670245,100.907596
3DES,1024.000000,25.384465,25.571421,40.339634
AES-128,1024.000000,4.714715,6.695612,217.192346
AES-192,1024.000000,5.668254,8.084026,180.655272
AES-256,1024.000000,6.617270,9.474554,154.746590
