Algorithm,Data Size (MB), Encryption Time (s), Decryption Time (s), Throughput (MB/s) 
DES,1,0.010001,0.009479,99.993840
3DES,1.000000,0.024753,0.024861,40.399041
AES-128,1.000000,0.004667,0.006521,214.261778
AES-192,1.000000,0.005600,0.007875,178.559982
AES-256,1.000000,0.006525,0.009229,153.255202

DES,10.000000,0.099124,0.094249,100.883397
3DES,10.000000,0.247415,0.248986,40.417906
AES-128,10.000000,0.047154,0.066554,212.070708
AES-192,10.000000,0.056579,0.080245,176.742482
AES-256,10.000000,0.065743,0.093883,152.107421

DES,100.000000,0.990475,0.943316,100.961636
3DES,100.000000,2.472391,2.495885,40.446670
AES-128,100.000000,0.460308,0.654343,217.245673
AES-192,100.000000,0.553368,0.789386,180.711444
AES-256,100.000000,0.646474,0.925406,154.685230

DES,500.000000,4.952395,4.717662,100.961247
3DES,500.000000,12.359294,12.465987,40.455384
AES-128,500.000000,2.301147,3.269480,217.282993
AES-192,500.000000,2.766001,3.948096,180.766408
AES-256,500.000000,3.229521,4.624034,154.821698

DES,1024.000000,10.146074,9.698344,100.925737
3DES,1024.000000,25.360083,25.536844,40.378416
AES-128,1024.000000,4.714077,6.692234,217.221732
AES-192,1024.000000,5.667313,8.084737,180.685262
AES-256,1024.000000,6.618549,9.473536,154.716686
